Page Name,URL,Meta Title,Meta Description,Primary Keyword,Secondary Keywords,Canonical URL,OG Title,OG Description,OG Image,Schema Type,Social Share Text,Status
Homepage,/,Sacred Portal Wellness - Holistic Women's Health & Yoni Steaming San Diego,"Holistic wellness coaching and yoni steaming products for women. Led by Amber, RN, BSN, HC-NC. The Sacred Portal Path 12-week program + herbal blends.",holistic women's health,"wellness coaching, yoni steaming San Diego, herbal blends",https://sacredportalwellness.com/,Sacred Portal Wellness - Holistic Women's Health & Yoni Steaming,"Holistic wellness coaching and yoni steaming products for women in San Diego. Led by Amber, RN, BSN, HC-NC.",/images/og/homepage.jpg,Organization,"Discover holistic wellness coaching and yoni steaming at Sacred Portal. Led by a holistic nurse coach with 10 years experience. 🌿 #WomensWellness #HolisticHealth",Draft
Shop,/shop,Shop Yoni Steam Blends & Wellness Products - Sacred Portal,"Handcrafted yoni steam blends and wellness products. Organic, sustainably sourced ingredients. Created by Amber, RN, BSN, HC-NC. Free shipping over $100.",yoni steam blends,"wellness products, organic, handcrafted",https://sacredportalwellness.com/shop,Shop Yoni Steam Blends & Wellness Products,Handcrafted yoni steam blends with organic ingredients. Created by a holistic nurse coach.,/images/og/shop.jpg,Product,"Shop handcrafted yoni steam blends and wellness products. Organic ingredients, created with intention by a registered nurse. 🌿",Draft - Needs Product Data
Coaching,/coaching,The Sacred Portal Path - 12-Week Holistic Wellness Coaching for Women,"Personalized holistic wellness coaching for women. 12-week program addressing hormones, cycles, digestion, and stress. Led by Amber, RN, BSN, HC-NC. Free discovery call.",holistic wellness coaching,"women's health coach, hormone balance, cycle support",https://sacredportalwellness.com/coaching,The Sacred Portal Path - 12-Week Holistic Wellness Coaching for Women,"Transform your health with personalized holistic coaching. Address hormones, cycles, digestion, and stress with a registered nurse coach.",/images/og/coaching.jpg,Service,"Ready to transform your health? The Sacred Portal Path is a 12-week holistic wellness coaching program for women. Led by RN, BSN, HC-NC. Book your free discovery call! 🌿✨",Draft - Needs Pricing
About,/about,Meet Amber - Holistic Nurse Coach & Sacred Portal Creator,"Meet Amber, RN, BSN, HC-NC - holistic nurse coach with 10 years healthcare experience. Specializing in women's wellness, yoni steaming, and natural healing.",holistic nurse coach,"women's wellness, natural healing, registered nurse",https://sacredportalwellness.com/about,Meet Amber - Holistic Nurse Coach & Creator of Sacred Portal,Registered nurse with 10 years experience specializing in holistic women's wellness and natural healing.,/images/og/amber-headshot.jpg,Person,"Meet Amber, RN, BSN, HC-NC - the holistic nurse coach behind Sacred Portal Wellness. 10 years of healthcare experience meets natural healing wisdom. 🌿",Draft
Yoni Steaming,/yoni-steaming,What is Yoni Steaming? Benefits, Safety & How-To Guide,"Learn about yoni steaming: benefits, safety guidelines, and how to steam at home. Complete guide from a holistic nurse coach. Shop organic steam blends.",yoni steaming,"vaginal steaming, yoni steam benefits, how to yoni steam",https://sacredportalwellness.com/yoni-steaming,What is Yoni Steaming? Complete Guide to Benefits & Safety,Everything you need to know about yoni steaming: benefits, safety, and how-to instructions from a holistic nurse coach.,/images/og/yoni-steaming-guide.jpg,Article,"New to yoni steaming? Learn about the benefits, safety guidelines, and how to steam at home in this complete guide. 🌿 #YoniSteaming #WomensWellness",Draft
Contact,/contact,Contact Sacred Portal Wellness - Get In Touch,"Contact Sacred Portal Wellness for questions about yoni steaming, coaching, or products. Email, Instagram, or send a message. We respond within 24-48 hours.",contact,"get in touch, questions, support",https://sacredportalwellness.com/contact,Contact Sacred Portal Wellness,Get in touch with questions about holistic wellness coaching, yoni steaming, or products.,/images/og/contact.jpg,ContactPage,"Have questions about holistic wellness, yoni steaming, or coaching? Contact Sacred Portal Wellness - we respond within 24-48 hours. 🌿",Draft
FAQ,/faq,FAQ - Sacred Portal Wellness Questions Answered,"Frequently asked questions about yoni steaming, holistic coaching, products, shipping, and policies. Get answers from Sacred Portal Wellness.",FAQ,"frequently asked questions, yoni steaming questions",https://sacredportalwellness.com/faq,Frequently Asked Questions - Sacred Portal Wellness,Get answers to common questions about yoni steaming, coaching, products, and more.,/images/og/faq.jpg,FAQPage,"Got questions about yoni steaming or holistic wellness coaching? Check out our FAQ for answers. 🌿",Pending
Testimonials,/testimonials,Client Testimonials - Sacred Portal Wellness Success Stories,"Read testimonials from women who have experienced transformation through Sacred Portal's holistic wellness coaching and yoni steaming products.",testimonials,"client success stories, reviews",https://sacredportalwellness.com/testimonials,Client Success Stories - Sacred Portal Wellness Testimonials,Hear from women who have transformed their health through holistic coaching and yoni steaming.,/images/og/testimonials.jpg,WebPage,"Read real stories from women who have transformed their health with Sacred Portal Wellness. 🌿 #ClientSuccess #Testimonials",Pending
Disclaimer,/disclaimer,Health Disclaimer - Sacred Portal Wellness,"Health disclaimer for Sacred Portal Wellness coaching and products. Not medical advice. Consult your healthcare provider.",disclaimer,"health disclaimer, legal",https://sacredportalwellness.com/disclaimer,Health Disclaimer - Sacred Portal Wellness,Important health and legal disclaimers for Sacred Portal Wellness services and products.,/images/og/default.jpg,WebPage,,Pending
Returns,/returns,Return & Exchange Policy - Sacred Portal Wellness,"Sacred Portal Wellness return and exchange policy. 30-day returns on unopened products. Contact us for assistance.",return policy,"returns, exchanges, refunds",https://sacredportalwellness.com/returns,Return & Exchange Policy - Sacred Portal Wellness,Return and exchange policy for Sacred Portal Wellness products.,/images/og/default.jpg,WebPage,,Pending
Shipping,/shipping,Shipping Policy - Sacred Portal Wellness,"Sacred Portal Wellness shipping policy. Standard shipping + local delivery in San Diego. Free delivery over $100.",shipping policy,"delivery, shipping rates",https://sacredportalwellness.com/shipping,Shipping Policy - Sacred Portal Wellness,Shipping and delivery information for Sacred Portal Wellness orders.,/images/og/default.jpg,WebPage,,Pending
Privacy,/privacy,Privacy Policy - Sacred Portal Wellness,Sacred Portal Wellness privacy policy. How we collect, use, and protect your information.,privacy policy,"data privacy, personal information",https://sacredportalwellness.com/privacy,Privacy Policy - Sacred Portal Wellness,Privacy policy and data protection information.,/images/og/default.jpg,WebPage,,Pending
